weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
592,"{'top_left': 60, 'top_right': 92, 'bottom_left': 284, 'bottom_right': 156}","{'top_left': 0.08241758241758242, 'top_right': 0.12637362637362637, 'bottom_left': 0.3901098901098901, 'bottom_right': 0.21428571428571427}","(29.180743243243242, 35.383445945945944)","(0.5305589680589681, 0.6804508835758836)","(138.96614488221329, 239.083885934076)","(0.04947174969106916, 0.07623848403510076)"
624,"{'top_left': 95, 'top_right': 104, 'bottom_left': 209, 'bottom_right': 216}","{'top_left': 0.1304945054945055, 'top_right': 0.14285714285714285, 'bottom_left': 0.28708791208791207, 'bottom_right': 0.2967032967032967}","(27.564102564102566, 31.958333333333332)","(0.5011655011655012, 0.6145833333333333)","(116.15531517094018, 198.7234549638396)","(0.04135112679634752, 0.06336844864918355)"
430,"{'top_left': 85, 'top_right': 71, 'bottom_left': 138, 'bottom_right': 136}","{'top_left': 0.13117283950617284, 'top_right': 0.1095679012345679, 'bottom_left': 0.21296296296296297, 'bottom_right': 0.20987654320987653}","(24.009302325581395, 31.57674418604651)","(0.5108362196932211, 0.595787626151821)","(106.5510870740941, 153.97665765278526)","(0.03654015331759057, 0.06683014655068804)"
444,"{'top_left': 67, 'top_right': 66, 'bottom_left': 147, 'bottom_right': 164}","{'top_left': 0.14316239316239315, 'top_right': 0.14102564102564102, 'bottom_left': 0.3141025641025641, 'bottom_right': 0.3504273504273504}","(17.783783783783782, 31.556306306306308)","(0.49399399399399396, 0.6068520443520444)","(103.24232509536563, 62.49829559289019)","(0.036754120717467295, 0.04565251686843695)"
724,"{'top_left': 96, 'top_right': 105, 'bottom_left': 248, 'bottom_right': 275}","{'top_left': 0.12307692307692308, 'top_right': 0.1346153846153846, 'bottom_left': 0.31794871794871793, 'bottom_right': 0.3525641025641026}","(29.988950276243095, 35.54696132596685)","(0.49981583793738493, 0.6835954101147471)","(154.26436921949878, 308.1490491743231)","(0.05491789577055848, 0.08281350421239536)"
570,"{'top_left': 10, 'top_right': 114, 'bottom_left': 151, 'bottom_right': 295}","{'top_left': 0.018315018315018316, 'top_right': 0.2087912087912088, 'bottom_left': 0.2765567765567766, 'bottom_right': 0.5402930402930403}","(25.21578947368421, 35.61052631578947)","(0.6003759398496241, 0.6848178137651821)","(113.67287165281624, 133.53062788550324)","(0.040467380438880825, 0.07221775439994767)"
480,"{'top_left': 54, 'top_right': 72, 'bottom_left': 176, 'bottom_right': 178}","{'top_left': 0.12217194570135746, 'top_right': 0.16289592760180996, 'bottom_left': 0.39819004524886875, 'bottom_right': 0.40271493212669685}","(19.454166666666666, 34.354166666666664)","(0.5895202020202019, 0.6606570512820512)","(122.87456597222221, 79.25623263888889)","(0.043743170513429054, 0.06856075487793156)"
389,"{'top_left': 31, 'top_right': 30, 'bottom_left': 144, 'bottom_right': 184}","{'top_left': 0.056776556776556776, 'top_right': 0.054945054945054944, 'bottom_left': 0.26373626373626374, 'bottom_right': 0.336996336996337}","(21.236503856041132, 38.588688946015424)","(0.51796350868393, 0.7420901720387582)","(111.0493322142994, 64.6741430469003)","(0.039533404134674044, 0.036663346398469555)"
512,"{'top_left': 141, 'top_right': 68, 'bottom_left': 120, 'bottom_right': 183}","{'top_left': 0.21139430284857572, 'top_right': 0.10194902548725637, 'bottom_left': 0.17991004497751126, 'bottom_right': 0.27436281859070466}","(22.20703125, 33.638671875)","(0.4934895833333333, 0.5799771012931034)","(187.65264511108398, 159.46495056152344)","(0.0539076831689411, 0.07536150782680692)"
507,"{'top_left': 76, 'top_right': 117, 'bottom_left': 198, 'bottom_right': 116}","{'top_left': 0.1391941391941392, 'top_right': 0.21428571428571427, 'bottom_left': 0.3626373626373626, 'bottom_right': 0.21245421245421245}","(18.930966469428007, 30.796844181459566)","(0.4617308894982441, 0.592247003489607)","(118.83249497177582, 104.44296612708082)","(0.04230419899315622, 0.05920803068428618)"
359,"{'top_left': 29, 'top_right': 72, 'bottom_left': 187, 'bottom_right': 71}","{'top_left': 0.05311355311355311, 'top_right': 0.13186813186813187, 'bottom_left': 0.3424908424908425, 'bottom_right': 0.13003663003663005}","(19.899721448467968, 33.02506963788301)","(0.47380289163018974, 0.6350974930362117)","(112.52026287815892, 103.23228404497169)","(0.040057053356411146, 0.05583141376147739)"
397,"{'top_left': 7, 'top_right': 92, 'bottom_left': 182, 'bottom_right': 116}","{'top_left': 0.010355029585798817, 'top_right': 0.13609467455621302, 'bottom_left': 0.2692307692307692, 'bottom_right': 0.17159763313609466}","(26.589420654911837, 33.544080604534)","(0.5213611893119968, 0.6450784731641155)","(103.2908780589941, 150.04049261146255)","(0.036771405503379886, 0.0554883478592687)"
494,"{'top_left': 58, 'top_right': 68, 'bottom_left': 187, 'bottom_right': 181}","{'top_left': 0.13122171945701358, 'top_right': 0.15384615384615385, 'bottom_left': 0.4230769230769231, 'bottom_right': 0.4095022624434389}","(16.66599190283401, 33.674089068825914)","(0.5050300576616367, 0.6475786359389599)","(109.04560392728942, 58.58277057483322)","(0.03882007971779616, 0.05067713717546126)"
679,"{'top_left': 100, 'top_right': 103, 'bottom_left': 247, 'bottom_right': 229}","{'top_left': 0.10989010989010989, 'top_right': 0.11318681318681319, 'bottom_left': 0.2714285714285714, 'bottom_right': 0.25164835164835164}","(34.22974963181149, 32.92783505154639)","(0.48899642331159265, 0.6332275971451229)","(120.01393802286564, 299.7351385234719)","(0.042724791036976024, 0.059459460131615134)"
769,"{'top_left': 119, 'top_right': 100, 'bottom_left': 341, 'bottom_right': 209}","{'top_left': 0.1386946386946387, 'top_right': 0.11655011655011654, 'bottom_left': 0.3974358974358974, 'bottom_right': 0.24358974358974358}","(26.99479843953186, 33.53966189856957)","(0.4153045913774132, 0.6449934980494147)","(115.0650719272999, 302.1482174171107)","(0.040963001754111744, 0.06936368627573707)"
