weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
350,"{'top_left': 19, 'top_right': 32, 'bottom_left': 128, 'bottom_right': 171}","{'top_left': 0.038, 'top_right': 0.064, 'bottom_left': 0.256, 'bottom_right': 0.342}","(20.94857142857143, 37.5)","(0.5237142857142858, 0.75)","(99.94142857142857, 60.528783673469384)","(0.03842423243807327, 0.03600760480277774)"
477,"{'top_left': 127, 'top_right': 63, 'bottom_left': 112, 'bottom_right': 175}","{'top_left': 0.21598639455782312, 'top_right': 0.10714285714285714, 'bottom_left': 0.19047619047619047, 'bottom_right': 0.2976190476190476}","(20.865828092243188, 32.706498951781974)","(0.49680543076769496, 0.5840446241389639)","(168.40861604454818, 150.51029978596134)","(0.051833984624360785, 0.08140091930014134)"
477,"{'top_left': 71, 'top_right': 104, 'bottom_left': 195, 'bottom_right': 107}","{'top_left': 0.142, 'top_right': 0.208, 'bottom_left': 0.39, 'bottom_right': 0.214}","(17.446540880503143, 29.89098532494759)","(0.44734720206418316, 0.5978197064989518)","(105.31725626183913, 96.94315889403109)","(0.0404910635378082, 0.06058947430876943)"
321,"{'top_left': 25, 'top_right': 62, 'bottom_left': 170, 'bottom_right': 64}","{'top_left': 0.05, 'top_right': 0.124, 'bottom_left': 0.34, 'bottom_right': 0.128}","(18.725856697819314, 31.834890965732086)","(0.46814641744548285, 0.6366978193146418)","(97.8823963276754, 93.7753127395891)","(0.037632601433170085, 0.05578543292063599)"
357,"{'top_left': 5, 'top_right': 83, 'bottom_left': 165, 'bottom_right': 104}","{'top_left': 0.008, 'top_right': 0.1328, 'bottom_left': 0.264, 'bottom_right': 0.1664}","(25.50140056022409, 32.42857142857143)","(0.5204367461270223, 0.6485714285714286)","(91.90876350540215, 135.14635658184844)","(0.03533593368143104, 0.054058542632739376)"
461,"{'top_left': 49, 'top_right': 62, 'bottom_left': 175, 'bottom_right': 175}","{'top_left': 0.1225, 'top_right': 0.155, 'bottom_left': 0.4375, 'bottom_right': 0.4375}","(16.383947939262473, 32.83947939262473)","(0.5119983731019523, 0.6567895878524946)","(98.75948259230852, 57.008766192517434)","(0.037969812607577286, 0.052349647559703796)"
606,"{'top_left': 88, 'top_right': 88, 'bottom_left': 230, 'bottom_right': 200}","{'top_left': 0.10352941176470588, 'top_right': 0.10352941176470588, 'bottom_left': 0.27058823529411763, 'bottom_right': 0.23529411764705882}","(32.62706270627063, 31.78052805280528)","(0.48697108516821835, 0.6356105610561056)","(104.12839972116024, 268.49788147131545)","(0.040033986820899745, 0.0580661508372222)"
691,"{'top_left': 101, 'top_right': 88, 'bottom_left': 311, 'bottom_right': 191}","{'top_left': 0.12625, 'top_right': 0.11, 'bottom_left': 0.38875, 'bottom_right': 0.23875}","(26.05354558610709, 32.42836468885673)","(0.4135483426366205, 0.6485672937771346)","(101.66599718103967, 282.38352939698126)","(0.039087273041537744, 0.06894129135668488)"
762,"{'top_left': 113, 'top_right': 89, 'bottom_left': 354, 'bottom_right': 206}","{'top_left': 0.12914285714285714, 'top_right': 0.10171428571428572, 'bottom_left': 0.4045714285714286, 'bottom_right': 0.23542857142857143}","(29.566929133858267, 31.78215223097113)","(0.42850621933127925, 0.6356430446194226)","(91.57458959362363, 310.13265959865254)","(0.03520745466882877, 0.0632923795099291)"
386,"{'top_left': 36, 'top_right': 36, 'bottom_left': 157, 'bottom_right': 157}","{'top_left': 0.06293706293706294, 'top_right': 0.06293706293706294, 'bottom_left': 0.2744755244755245, 'bottom_right': 0.2744755244755245}","(21.5, 33.84974093264249)","(0.5, 0.6637204104439703)","(64.81161910386857, 92.16709844559585)","(0.02396879404728867, 0.04760697233760117)"
